category,frequency
('29', 22)
('67', 87)
('31', 59)
('0', 4)
('29', 16)
('59', 4)
('67', 46)
('55', 148)
('37', 39)
('81', 220)
('16', 208)
('64', 53)
('11', 54)
('85', 60)
('21', 22)
('81', 70)
('88', 61)
('28', 74)
('1', 18)
('22', 85)
('21', 25)
('96', 51)
('38', 5)
('81', 22)
('23', 32)
('127', 47)
('0', 50)
('95', 97)
('5', 34)
('122', 311)
('7', 22)
('96', 76)
('67', 30)
('29', 52)
('93', 131)
('33', 185)
('8', 36)
('80', 151)
('67', 5)
('1', 27)
('29', 86)
('104', 31)
('34', 40)
('1', 44)
('108', 13)
('67', 45)
('67', 51)
('24', 106)
('1', 8)
('82', 16)
('82', 57)
('10', 27)
('29', 7)
('67', 42)
('80', 28)
('96', 16)
('29', 117)
('29', 12)
('1', 7)
('21', 26)
('21', 51)
('81', 98)
('0', 18)
('65', 17)
('94', 12)
('75', 9)
('0', 12)
('0', 6)
('16', 19)
('0', 24)
('37', 6)
('100', 6)
('8', 171)
('1', 137)
('80', 225)
('38', 57)
('21', 43)
('80', 83)
('10', 188)
('1', 117)
('23', 5)
('81', 43)
('100', 181)
('1', 237)
('24', 20)
('1', 7)
('80', 43)
('0', 21)
('80', 47)
('19', 166)
('41', 11)
('21', 41)
('97', 6)
('38', 4)
('76', 77)
('101', 8)
('76', 36)
('19', 68)
('4', 132)
('21', 21)
('64', 41)
('1', 39)
('29', 22)
('92', 175)
('11', 285)
('44', 138)
('0', 143)
('34', 47)
('75', 30)
('67', 19)
('51', 36)
('0', 26)
('109', 45)
('80', 25)
('74', 72)
('24', 37)
('83', 91)
('23', 5)
('22', 111)
('80', 50)
('29', 57)
('56', 118)
('0', 9)
('82', 291)
('93', 188)
('0', 30)
('96', 191)
('37', 54)
('0', 18)
('98', 76)
('29', 16)
('85', 81)
('85', 87)
('96', 61)
('81', 26)
