id	단어	빈도수
0	시스템	2473
1	기반	1564
2	구축	1290
3	설계	3974
4	운영	5365
5	서비스	4404
6	자동	1039
7	개선	1035
8	온라인	1713
9	고객	2741
10	지원	12080
11	등	7579
12	이상	13826
13	활용	1640
14	가능	6490
15	경험자	2077
16	개발	9867
17	오픈	1006
18	보안	1235
19	관리	13413
20	작성	1515
21	경험	7656
22	년	15491
23	전체	1055
24	분	12100
25	정보	1723
26	관련	6031
27	업무	6805
28	커뮤니케이션	1935
29	능력	2763
30	이해	2380
31	자격증	1578
32	성장	1353
33	직무	1077
34	교육	2739
35	시	2424
36	근무	3060
37	일	2811
38	휴가	3070
39	만	6631
40	원	8197
41	제공	3177
42	장비	1268
43	환경	2322
44	사내	1362
45	지급	2210
46	시간	1467
47	선물	1201
48	건강	2484
49	검진	1216
50	데이터	2513
51	가공	1179
52	분석	3531
53	경력	23560
54	우대	5076
55	솔루션	1324
56	수	3738
57	역량	1036
58	기술	3382
59	사용	2803
60	제도	1232
61	팀	2830
62	중	1004
63	해외	1768
64	디자인	4566
65	웹	2422
66	보유	1459
67	프로젝트	1202
68	문서	1057
69	회사	6402
70	생산	2268
71	문화	1078
72	공학	1196
73	소프트웨어	1272
74	연차	1145
75	보험	3526
76	진행	1014
77	분야	1899
78	경조사	1027
79	대	1319
80	플랫폼	1034
81	결격	1432
82	사유	1413
83	자	2241
84	유경	1042
85	험자	1019
86	기타	1494
87	자격	1148
88	해당	1032
89	통신	1041
90	개발자	1162
91	연구	1377
92	전자	1557
93	전기	2049
94	전략	2182
95	수립	1190
96	해외여행	1163
97	결정	4832
98	산업	1410
99	전공	1797
100	품질	1533
101	회계	1395
102	게임	1475
103	콘텐츠	1138
104	제작	1734
105	신입	5460
106	졸업	8632
107	학원	2045
108	경력자	1936
109	소지자	1271
110	제품	1417
111	기획	6652
112	보유자	1320
113	월급	1858
114	기계	2922
115	기업	1184
116	현장	1688
117	모바일	1034
118	영상	1061
119	학력	8084
120	무관	17210
121	영어	2544
122	채용	7246
123	광고	2710
124	직원	1825
125	컨설팅	1190
126	컨텐츠	1275
127	상품	1243
128	기사	1472
129	대학교	2207
130	센터	1305
131	주	13585
132	우수	1090
133	사원	2453
134	전문	1110
135	부산	1498
136	후	5189
137	사	1036
138	전환	2081
139	강사	1409
140	물류	1321
141	사업	2199
142	영업	5368
143	사무	1426
144	보조	1237
145	정규직	17594
146	상담	1211
147	설비	1737
148	경력직	1021
149	대학	3711
150	자동차	1526
151	내규	3827
152	건설	1927
153	유통	1128
154	판매	1339
155	마케팅	3240
156	건축	2202
157	면접	4759
158	서울	7090
159	경기	5564
160	모집	5887
161	병원	1007
162	계약직	5116
163	제조	1134
164	쇼핑몰	1407
165	공고	1460
166	식품	1171
167	대구	1055
168	강남구	1418
169	고등학교	2235
